Station,Location,Country,Capacity (MW),Fuel Type,Type,Year,Status,Sponsor/Owner,Note
Nho Que 3,,Vietnam,110,Hydroelectric,Renewable,,,Nho Que 3 One Member LLC (Bitexco),
Song Bac,,Vietnam,42,Hydroelectric,Renewable,,,Song Bac Hydropower JSC,
Su Pan 2,,Vietnam,34.5,Hydroelectric,Renewable,,,Su Pan Hydropower JSC,
Ta Thang,,Vietnam,60,Hydroelectric,Renewable,,,Vietracimex Lao Cai Electric JSC,
Thac Ba,,Vietnam,120,Hydroelectric,Renewable,,,Thac Ba Hydropower JSC,
Thai An,,Vietnam,82,Hydroelectric,Renewable,,,Thai An Hydropower JSC,
Thuan Hoa,,Vietnam,42,Hydroelectric,Renewable,,,Thuan Hoa - Ha Giang Hydropower JSC,
Van Chan,,Vietnam,57,Hydroelectric,Renewable,,,Van Chan Hydropower JSC (Bitexco),
A Luoi,,Vietnam,170,Hydroelectric,Renewable,,,Central Hydropower JSC (EVNCHP),
Binh Dien,,Vietnam,44,Hydroelectric,Renewable,,,Binh Dien Hydropower JSC (Bitexco),
Dakdrinh,,Vietnam,125,Hydroelectric,Renewable,,,Dakdrinh Hydropower JSC/PVN,
Dak Mi 3,,Vietnam,63,Hydroelectric,Renewable,,,Dak Mi 3 IDICO Hydropower JSC,
Dak Mi 4,,Vietnam,208,Hydroelectric,Renewable,,,Dak Mi Hydropower JSC (Bitexco),
Dak R'Tih,,Vietnam,144,Hydroelectric,Renewable,,,Dak R'Tih Hydropower JSC,
Dong Nai 5,,Vietnam,150,Hydroelectric,Renewable,,,Dong Nai 5 Hydropower JSC/TKV,
Huong Dien,,Vietnam,81,Hydroelectric,Renewable,,,Huong Dien Investment JSC,
Krong H'nang,,Vietnam,64,Hydroelectric,Renewable,,,Song Ba JSC,
Se San 3A,,Vietnam,108,Hydroelectric,Renewable,,,Se San 3A Power Investment and Development JSC,
Se San 4A,,Vietnam,63,Hydroelectric,Renewable,,,Se San 4A Hydropower JSC,
Song Bung 4A,,Vietnam,49,Hydroelectric,Renewable,,,Phu Thach My JSC,
Song Bung 5,,Vietnam,57,Hydroelectric,Renewable,,,Power Engineering Consulting JSC 1 (PECC1),
Song Con 2,,Vietnam,63,Hydroelectric,Renewable,,,Geruco - Song Con Hydropower JSC,
Song Giang 2,,Vietnam,37,Hydroelectric,Renewable,,,Song Giang Hydropower JSC,
Song Tranh 3,,Vietnam,62,Hydroelectric,Renewable,,,Song Tranh Hydropower JSC 3,
Srepok 4,,Vietnam,80,Hydroelectric,Renewable,,,Dai Hai Electric Investment and Development JSC,
Srepok 4A,,Vietnam,64,Hydroelectric,Renewable,,,Buon Don Hydropower JSC,
Vinh Son,,Vietnam,66,Hydroelectric,Renewable,,,Vinh Son - Song Hinh Hydropower JSC,
Song Hinh,,Vietnam,70,Hydroelectric,Renewable,,,Vinh Son - Song Hinh Hydropower JSC,
Bac Binh,,Vietnam,33,Hydroelectric,Renewable,,,Vietnam Power Development JSC (VNPD),
Can Don,,Vietnam,77.6,Hydroelectric,Renewable,,,Can Don Hydroelectric JSC,
Da Dang 2,,Vietnam,34,Hydroelectric,Renewable,,,Southern Hydropower JSC (SHP),
Dam Bri,,Vietnam,75,Hydroelectric,Renewable,,,Southern Hydropower JSC (SHP),
Dong Nai 2,,Vietnam,73,Hydroelectric,Renewable,,,Trung Nam Power JSC,
Srokphumieng,,Vietnam,51,Hydroelectric,Renewable,,,Srok Phu Mieng IDICO Hydropower JSC,
Small hydro North,,Vietnam,1931,Hydroelectric,Renewable,,,,
Small hydro Center,,Vietnam,1137,Hydroelectric,Renewable,,,,
Small hydro South,,Vietnam,254,Hydroelectric,Renewable,,,,
Ka Nak,,Vietnam,13,Hydroelectric,Renewable,,,EVNGENCO 2,
Sông Pha,,Vietnam,7.5,Hydroelectric,Renewable,,,Da Nhim-Ham Thuan-Da Mi Hydropower JSC/EVNGENCO 1,
